AWP | Pit Viper (Minimal Wear)
Sticker | afro (Glitter) | Shanghai 2024
Sticker | Graviti (Gold) | Shanghai 2024
Sticker | jks (Glitter) | Shanghai 2024
Sticker | mzinho (Holo) | Shanghai 2024
Sticker | stanislaw (Gold) | Shanghai 2024
Sticker | phzy (Holo) | Shanghai 2024
Sticker | NAF (Gold) | Shanghai 2024
Sticker | s-chilla (Holo) | Shanghai 2024
Sticker | mzinho (Glitter) | Shanghai 2024
Sticker | EliGE (Holo) | Shanghai 2024
Sticker | Jame (Glitter) | Shanghai 2024
Sticker | MATYS (Holo) | Shanghai 2024
Sticker | bLitz (Holo) | Shanghai 2024
Sticker | Krimbo (Glitter) | Shanghai 2024
Sticker | afro (Holo) | Shanghai 2024
Sticker | sh1ro (Gold) | Shanghai 2024
Sticker | Passion UA (Gold) | Shanghai 2024
Sticker | Twistzz (Glitter) | Shanghai 2024
Sticker | malbsMd (Gold) | Shanghai 2024
Sticker | Complexity Gaming (Holo) | Shanghai 2024
Sticker | floppy (Gold) | Shanghai 2024
Sticker | chelo (Holo) | Shanghai 2024
Sticker | JDC (Glitter) | Shanghai 2024
Sticker | EliGE (Glitter) | Shanghai 2024
Sticker | tabseN (Glitter) | Shanghai 2024
Sticker | n0rb3r7 (Glitter) | Shanghai 2024
Sticker | L1haNg (Holo) | Shanghai 2024
Sticker | exit (Holo) | Shanghai 2024
Sticker | snow (Holo) | Shanghai 2024
Sticker | lux (Glitter) | Shanghai 2024
Sticker | FURIA (Holo) | Shanghai 2024
Sticker | BIG (Glitter) | Shanghai 2024
Sticker | Jame (Gold) | Shanghai 2024
Sticker | skullz (Holo) | Shanghai 2024
Sticker | zont1x (Gold) | Shanghai 2024
Sticker | karrigan (Gold) | Shanghai 2024
Sticker | Aleksib (Gold) | Shanghai 2024
Sticker | saffee (Gold) | Shanghai 2024
Sticker | FL1T (Holo) | Shanghai 2024
Sticker | saffee (Holo) | Shanghai 2024
Sticker | kyxsan (Gold) | Shanghai 2024
Sticker | MOUZ (Gold) | Shanghai 2024
Sticker | jks (Holo) | Shanghai 2024
Sticker | Jame (Holo) | Shanghai 2024
Sticker | huNter- (Gold) | Shanghai 2024
Sticker | VINI (Gold) | Shanghai 2024
Sticker | fEAR (Gold) | Shanghai 2024
Sticker | GamerLegion (Gold) | Shanghai 2024
Sticker | lux (Holo) | Shanghai 2024
Sticker | Techno4K (Holo) | Shanghai 2024
Sticker | skullz (Gold) | Shanghai 2024
Sticker | ICY (Holo) | Shanghai 2024
Sticker | paiN Gaming (Gold) | Shanghai 2024
Sticker | The MongolZ (Holo) | Shanghai 2024
Sticker | Natus Vincere (Gold) | Shanghai 2024
Sticker | biguzera (Holo) | Shanghai 2024
Sticker | drop (Gold) | Shanghai 2024
Sticker | Team Liquid (Holo) | Shanghai 2024
Sticker | Fnatic (Holo) | Shanghai 2024
Sticker | xertioN (Gold) | Shanghai 2024
Sticker | ropz (Gold) | Shanghai 2024
Sticker | JT (Glitter) | Shanghai 2024
Sticker | zeRRoFIX (Gold) | Shanghai 2024
Sticker | rigoN (Holo) | Shanghai 2024
Sticker | mzinho (Gold) | Shanghai 2024
Sticker | TeSeS (Gold) | Shanghai 2024
Sticker | chopper (Gold) | Shanghai 2024
Sticker | Sonic (Gold) | Shanghai 2024
Sticker | Spinx (Gold) | Shanghai 2024
Sticker | sjuush (Gold) | Shanghai 2024
Sticker | Perfecto (Gold) | Shanghai 2024
Sticker | ICY (Gold) | Shanghai 2024
Sticker | FlameZ (Gold) | Shanghai 2024
Sticker | FL4MUS (Gold) | Shanghai 2024
Sticker | INS (Gold) | Shanghai 2024
Sticker | Lucaozy (Gold) | Shanghai 2024
Sticker | decenty (Gold) | Shanghai 2024
Sticker | b1t (Gold) | Shanghai 2024
Sticker | ChildKing (Holo) | Shanghai 2024
Sticker | HEROIC (Gold) | Shanghai 2024
Sticker | aliStair (Gold) | Shanghai 2024
Sticker | rigoN (Gold) | Shanghai 2024
Sticker | fame (Holo) | Shanghai 2024
Sticker | JBa (Gold) | Shanghai 2024
Sticker | sl3nd (Gold) | Shanghai 2024
Sticker | Djoko (Gold) | Shanghai 2024
Sticker | Wildcard (Gold) | Shanghai 2024
Sticker | biguzera (Gold) | Shanghai 2024
Sticker | Grim (Holo) | Shanghai 2024
Sticker | KRIMZ (Gold) | Shanghai 2024
Sticker | FL1T (Gold) | Shanghai 2024
Sticker | hallzerk (Gold) | Shanghai 2024
Sticker | 910 (Glitter) | Shanghai 2024
Sticker | Senzu (Holo) | Shanghai 2024
Sticker | aNdu (Holo) | Shanghai 2024
Sticker | Ex3rcice (Gold) | Shanghai 2024
Sticker | ztr (Holo) | Shanghai 2024
Sticker | bLitz (Gold) | Shanghai 2024
Sticker | Techno4K (Gold) | Shanghai 2024
Sticker | NAF (Holo) | Shanghai 2024
Sticker | KSCERATO (Holo) | Shanghai 2024
Sticker | Heavygod (Gold) | Shanghai 2024
Sticker | FalleN (Holo) | Shanghai 2024
Sticker | Twistzz (Holo) | Shanghai 2024
Sticker | Perfecto (Holo) | Shanghai 2024
Sticker | w0nderful (Gold) | Shanghai 2024
Sticker | aliStair (Holo) | Shanghai 2024
Sticker | Volt (Gold) | Shanghai 2024
Sticker | JDC (Holo) | Shanghai 2024
Sticker | electronic (Gold) | Shanghai 2024
Sticker | L1haNg (Gold) | Shanghai 2024
Sticker | kauez (Gold) | Shanghai 2024
Sticker | paiN Gaming (Holo) | Shanghai 2024
Sticker | tabseN (Holo) | Shanghai 2024
Sticker | ZywOo (Gold) | Shanghai 2024
Sticker | ChildKing (Gold) | Shanghai 2024
Sticker | Complexity Gaming (Gold) | Shanghai 2024
Sticker | Twistzz (Gold) | Shanghai 2024
Sticker | jks (Gold) | Shanghai 2024
Sticker | syrsoN (Gold) | Shanghai 2024
Sticker | Summer (Gold) | Shanghai 2024
Sticker | ultimate (Holo) | Shanghai 2024
Sticker | ultimate (Gold) | Shanghai 2024
Sticker | NQZ (Holo) | Shanghai 2024
Sticker | fEAR (Holo) | Shanghai 2024
Sticker | s-chilla (Gold) | Shanghai 2024
Sticker | blameF (Gold) | Shanghai 2024
Sticker | dexter (Gold) | Shanghai 2024
Sticker | KRIMZ (Holo) | Shanghai 2024
Sticker | Boombl4 (Gold) | Shanghai 2024
Sticker | KSCERATO (Gold) | Shanghai 2024
Sticker | Team Liquid (Gold) | Shanghai 2024
Sticker | noway (Gold) | Shanghai 2024
Sticker | The MongolZ (Gold) | Shanghai 2024
Sticker | Kaze (Gold) | Shanghai 2024
Sticker | ztr (Gold) | Shanghai 2024
Sticker | hallzerk (Holo) | Shanghai 2024
Sticker | jambo (Gold) | Shanghai 2024
Sticker | tabseN (Gold) | Shanghai 2024
Sticker | aNdu (Gold) | Shanghai 2024
Sticker | MATYS (Gold) | Shanghai 2024
Sticker | BIG (Gold) | Shanghai 2024
Sticker | vexite (Gold) | Shanghai 2024
Sticker | insani (Gold) | Shanghai 2024
Sticker | bodyy (Gold) | Shanghai 2024
Sticker | JT (Gold) | Shanghai 2024
Sticker | Fnatic (Gold) | Shanghai 2024
Sticker | FURIA (Gold) | Shanghai 2024
Sticker | Grim (Gold) | Shanghai 2024
Sticker | Virtus.pro (Gold) | Shanghai 2024
Sticker | Liazz (Gold) | Shanghai 2024
Sticker | NQZ (Gold) | Shanghai 2024
Sticker | jackasmo (Gold) | Shanghai 2024
Sticker | FalleN (Gold) | Shanghai 2024
Sticker | chelo (Gold) | Shanghai 2024
Sticker | EliGE (Gold) | Shanghai 2024
Sticker | Krimbo (Gold) | Shanghai 2024
Sticker | lux (Gold) | Shanghai 2024
Sticker | fame (Gold) | Shanghai 2024
Sticker | YEKINDAR (Gold) | Shanghai 2024
Shanghai 2024 Ancient Souvenir Package
Shanghai 2024 Vertigo Souvenir Package
Sticker | n0rb3r7 (Gold) | Shanghai 2024
Shanghai 2024 Anubis Souvenir Package
Shanghai 2024 Mirage Souvenir Package
Shanghai 2024 Dust II Souvenir Package
Shanghai 2024 Nuke Souvenir Package
Shanghai 2024 Inferno Souvenir Package
Sticker | Senzu (Gold) | Shanghai 2024
Sticker | afro (Gold) | Shanghai 2024
Sticker | JDC (Gold) | Shanghai 2024
Prototype Gallery Case Key
Shanghai 2024 Silver Coin
Sticker | brnz4n (Holo) | Shanghai 2024
Sticker | brnz4n | Shanghai 2024
Sticker | brnz4n (Glitter) | Shanghai 2024
Sticker | brnz4n (Gold) | Shanghai 2024
Sticker | 910 (Gold) | Shanghai 2024
Shanghai 2024 Gold Coin
★ StatTrak™ Paracord Knife | Night Stripe (Factory New)
Shanghai 2024 Diamond Coin
★ StatTrak™ Bowie Knife | Safari Mesh (Factory New)
Sticker | magixx (Champion) | Shanghai 2024
Sticker | donk (Holo, Champion) | Shanghai 2024
Shanghai 2024 Champions Autograph Capsule
Sticker | zont1x (Holo, Champion) | Shanghai 2024
Sticker | sh1ro (Glitter, Champion) | Shanghai 2024
Sticker | chopper (Champion) | Shanghai 2024
Sticker | donk (Champion) | Shanghai 2024
Sticker | zont1x (Champion) | Shanghai 2024
Sticker | magixx (Glitter, Champion) | Shanghai 2024
Sticker | sh1ro (Champion) | Shanghai 2024
Sticker | zont1x (Glitter, Champion) | Shanghai 2024
Sticker | magixx (Holo, Champion) | Shanghai 2024
Sticker | donk (Glitter, Champion) | Shanghai 2024
Sticker | chopper (Glitter, Champion) | Shanghai 2024
Sticker | zont1x (Gold, Champion) | Shanghai 2024
Sticker | chopper (Holo, Champion) | Shanghai 2024
Sticker | sh1ro (Holo, Champion) | Shanghai 2024
Sticker | chopper (Gold, Champion) | Shanghai 2024
Sticker | donk (Gold, Champion) | Shanghai 2024
Sticker | magixx (Gold, Champion) | Shanghai 2024
Sticker | sh1ro (Gold, Champion) | Shanghai 2024
Sticker | volt (Holo) | Shanghai 2024
Sticker | volt | Shanghai 2024
Sticker | volt (Glitter) | Shanghai 2024
Sticker | volt (Gold) | Shanghai 2024
2025 Service Medal
Premier Season One Medal
Semifinalist at Perfect World Shanghai 2024
Quarterfinalist at Perfect World Shanghai 2024
Champion at Perfect World Shanghai 2024
Finalist at Perfect World Shanghai 2024
Prototype Whistle Map Coin
Prototype Palais Map Coin
Prototype Edin Map Coin
★ StatTrak™ Kukri Knife | Night Stripe (Factory New)
MP9 | Buff Blue (Minimal Wear)
Glock-18 | Shinobu (Minimal Wear)
P90 | Straight Dimes (Minimal Wear)
Nova | Rain Station (Minimal Wear)
Galil AR | Green Apple (Factory New)
Fever Case
UMP-45 | Green Swirl (Field-Tested)
Zeus x27 | Tosai (Factory New)
SSG 08 | Memorial (Well-Worn)
Glock-18 | Shinobu (Field-Tested)
M4A4 | Choppa (Well-Worn)
MAG-7 | Resupply (Well-Worn)
MAC-10 | Acid Hex (Factory New)
MP9 | Nexus (Well-Worn)
P2000 | Sure Grip (Minimal Wear)
AK-47 | Searing Rage (Field-Tested)
MP9 | Nexus (Field-Tested)
Fever Case Key
MP9 | Nexus (Minimal Wear)
StatTrak™ USP-S | PC-GRN (Battle-Scarred)
SSG 08 | Memorial (Battle-Scarred)
P2000 | Sure Grip (Field-Tested)
M249 | Sage Camo (Battle-Scarred)
Galil AR | Green Apple (Minimal Wear)
Nova | Rain Station (Factory New)
FAMAS | 2A2F (Factory New)
P250 | Constructivist (Minimal Wear)
MAC-10 | Derailment (Factory New)
Glock-18 | Green Line (Minimal Wear)
XM1014 | Run Run Run (Field-Tested)
FAMAS | 2A2F (Field-Tested)
CZ75-Auto | Copper Fiber (Factory New)
P250 | Constructivist (Factory New)
Galil AR | Green Apple (Field-Tested)
P250 | Constructivist (Field-Tested)
FAMAS | 2A2F (Battle-Scarred)
Glock-18 | Green Line (Field-Tested)
XM1014 | Run Run Run (Factory New)
AUG | Steel Sentinel (Field-Tested)
XM1014 | Run Run Run (Minimal Wear)
P90 | Straight Dimes (Field-Tested)
CZ75-Auto | Copper Fiber (Field-Tested)
AUG | Steel Sentinel (Minimal Wear)
XM1014 | Solitude (Minimal Wear)
P90 | Straight Dimes (Battle-Scarred)
CZ75-Auto | Copper Fiber (Minimal Wear)
Zeus x27 | Charged Up (Field-Tested)
Glock-18 | Green Line (Well-Worn)
M4A4 | Hellish (Minimal Wear)
FAMAS | 2A2F (Minimal Wear)
UMP-45 | Late Night Transit (Well-Worn)
M4A4 | Choppa (Minimal Wear)
MP9 | Multi-Terrain (Field-Tested)
Nova | Rain Station (Field-Tested)
P90 | Straight Dimes (Factory New)
UMP-45 | Late Night Transit (Field-Tested)
XM1014 | Solitude (Field-Tested)
Tec-9 | Whiteout (Field-Tested)
AUG | Steel Sentinel (Well-Worn)
MP9 | Nexus (Battle-Scarred)
P2000 | Sure Grip (Well-Worn)
FAMAS | Bad Trip (Battle-Scarred)
Glock-18 | Shinobu (Well-Worn)
MAG-7 | Resupply (Minimal Wear)
Zeus x27 | Tosai (Well-Worn)
XM1014 | Mockingbird (Well-Worn)
USP-S | PC-GRN (Field-Tested)
XM1014 | Mockingbird (Minimal Wear)
UMP-45 | Late Night Transit (Minimal Wear)
StatTrak™ SSG 08 | Memorial (Field-Tested)
MP9 | Multi-Terrain (Well-Worn)
MP9 | Buff Blue (Field-Tested)
UMP-45 | Late Night Transit (Battle-Scarred)
CZ75-Auto | Copper Fiber (Well-Worn)
P2000 | Sure Grip (Battle-Scarred)
SSG 08 | Memorial (Field-Tested)
Desert Eagle | Serpent Strike (Factory New)
MP9 | Latte Rush (Field-Tested)
P90 | Straight Dimes (Well-Worn)
Glock-18 | Green Line (Battle-Scarred)
AUG | Steel Sentinel (Battle-Scarred)
CZ75-Auto | Copper Fiber (Battle-Scarred)
Zeus x27 | Charged Up (Well-Worn)
XM1014 | Mockingbird (Field-Tested)
Nova | Rising Sun (Minimal Wear)
MAG-7 | Resupply (Field-Tested)
G3SG1 | Red Jasper (Field-Tested)
UMP-45 | K.O. Factory (Well-Worn)
P90 | Blue Tac (Field-Tested)
CZ75-Auto | Pink Pearl (Factory New)
M4A4 | Choppa (Battle-Scarred)
SSG 08 | Memorial (Minimal Wear)
StatTrak™ Nova | Rising Sun (Field-Tested)
StatTrak™ MP9 | Nexus (Minimal Wear)
StatTrak™ Galil AR | Control (Field-Tested)
MAG-7 | Resupply (Battle-Scarred)
XM1014 | Mockingbird (Battle-Scarred)
USP-S | PC-GRN (Minimal Wear)
FAMAS | Bad Trip (Field-Tested)
AK-47 | Searing Rage (Minimal Wear)
P90 | Wave Breaker (Well-Worn)
Glock-18 | Shinobu (Battle-Scarred)
StatTrak™ SSG 08 | Memorial (Factory New)
StatTrak™ P2000 | Sure Grip (Minimal Wear)
M4A4 | Choppa (Field-Tested)
Glock-18 | Green Line (Factory New)
Dual Berettas | BorDeux (Field-Tested)
P250 | Plum Netting (Field-Tested)
MP7 | Short Ochre (Battle-Scarred)
SSG 08 | Green Ceramic (Factory New)
Zeus x27 | Charged Up (Minimal Wear)
Nova | Rising Sun (Field-Tested)
Desert Eagle | Serpent Strike (Field-Tested)
P90 | Wave Breaker (Battle-Scarred)
UMP-45 | K.O. Factory (Minimal Wear)
Galil AR | Control (Minimal Wear)
USP-S | PC-GRN (Well-Worn)
XM1014 | Solitude (Well-Worn)
USP-S | PC-GRN (Battle-Scarred)
Desert Eagle | Serpent Strike (Minimal Wear)
Nova | Rising Sun (Battle-Scarred)
★ StatTrak™ Nomad Knife | Ultraviolet (Battle-Scarred)
StatTrak™ P2000 | Sure Grip (Field-Tested)
UMP-45 | K.O. Factory (Battle-Scarred)
XM1014 | Canvas Cloud (Field-Tested)
XM1014 | Run Run Run (Battle-Scarred)
Zeus x27 | Tosai (Field-Tested)
StatTrak™ USP-S | PC-GRN (Field-Tested)
AK-47 | VariCamo Grey (Battle-Scarred)
MAC-10 | Derailment (Minimal Wear)
StatTrak™ XM1014 | Mockingbird (Field-Tested)
SG 553 | Basket Halftone (Field-Tested)
M4A4 | Choppa (Factory New)
Galil AR | Control (Well-Worn)
★ Nomad Knife | Damascus Steel (Battle-Scarred)
StatTrak™ MP9 | Nexus (Well-Worn)
StatTrak™ MAG-7 | Resupply (Minimal Wear)
StatTrak™ MAG-7 | Resupply (Field-Tested)
StatTrak™ SSG 08 | Memorial (Minimal Wear)
StatTrak™ USP-S | PC-GRN (Minimal Wear)
StatTrak™ M4A4 | Choppa (Well-Worn)
P90 | Wave Breaker (Minimal Wear)
Galil AR | Control (Field-Tested)
MAG-7 | Copper Oxide (Field-Tested)
M249 | Sage Camo (Factory New)
Negev | Raw Ceramic (Minimal Wear)
SSG 08 | Green Ceramic (Field-Tested)
XM1014 | Solitude (Battle-Scarred)
XM1014 | Solitude (Factory New)
MP5-SD | Lime Hex (Field-Tested)
M4A4 | Steel Work (Factory New)
Galil AR | Acid Dart (Well-Worn)
MP7 | Short Ochre (Factory New)
MAC-10 | Bronzer (Field-Tested)
AUG | Steel Sentinel (Factory New)
StatTrak™ MAG-7 | Resupply (Battle-Scarred)
Nova | Rising Sun (Well-Worn)
P250 | Plum Netting (Battle-Scarred)
Galil AR | O-Ranger (Field-Tested)
Galil AR | Acid Dart (Minimal Wear)
MP9 | Buff Blue (Battle-Scarred)
AK-47 | Searing Rage (Well-Worn)
Five-SeveN | Autumn Thicket (Minimal Wear)
StatTrak™ XM1014 | Mockingbird (Minimal Wear)
StatTrak™ M4A4 | Choppa (Minimal Wear)
Tec-9 | Blue Blast (Minimal Wear)
P250 | Copper Oxide (Factory New)
SG 553 | Night Camo (Field-Tested)
G3SG1 | Red Jasper (Minimal Wear)
M249 | Sage Camo (Field-Tested)
StatTrak™ MP9 | Nexus (Battle-Scarred)
MP9 | Pine (Battle-Scarred)
Sawed-Off | Runoff (Field-Tested)
Galil AR | Robin's Egg (Minimal Wear)
MAC-10 | Derailment (Field-Tested)
XM1014 | Run Run Run (Well-Worn)
MAC-10 | Storm Camo (Minimal Wear)
R8 Revolver | Cobalt Grip (Field-Tested)
CZ75-Auto | Pink Pearl (Battle-Scarred)
P250 | Copper Oxide (Field-Tested)
PP-Bizon | Wood Block Camo (Factory New)
StatTrak™ M4A4 | Choppa (Field-Tested)
MP9 | Multi-Terrain (Factory New)
MAC-10 | Derailment (Battle-Scarred)
Galil AR | Control (Battle-Scarred)
R8 Revolver | Leafhopper (Field-Tested)
MP9 | Pine (Minimal Wear)
Zeus x27 | Swamp DDPAT (Minimal Wear)
Galil AR | Grey Smoke (Field-Tested)
P90 | Wave Breaker (Field-Tested)
StatTrak™ MP9 | Nexus (Field-Tested)
UMP-45 | Late Night Transit (Factory New)
MAC-10 | Poplar Thicket (Minimal Wear)
Tec-9 | Whiteout (Battle-Scarred)
FAMAS | 2A2F (Well-Worn)
StatTrak™ Desert Eagle | Serpent Strike (Field-Tested)
MP7 | Short Ochre (Field-Tested)
StatTrak™ Zeus x27 | Tosai (Battle-Scarred)
StatTrak™ AWP | Printstream (Field-Tested)
Five-SeveN | Sky Blue (Well-Worn)
Zeus x27 | Electric Blue (Minimal Wear)
Tec-9 | Raw Ceramic (Battle-Scarred)
AUG | Commando Company (Battle-Scarred)
P90 | Desert Halftone (Field-Tested)
P90 | Blue Tac (Factory New)
MAC-10 | Bronzer (Minimal Wear)
SSG 08 | Tiger Tear (Factory New)
MP9 | Pine (Field-Tested)
M4A1-S | Rose Hex (Minimal Wear)
Zeus x27 | Electric Blue (Battle-Scarred)
SCAR-20 | Short Ochre (Minimal Wear)
SSG 08 | Green Ceramic (Minimal Wear)
XM1014 | Canvas Cloud (Minimal Wear)
Galil AR | Acid Dart (Factory New)
StatTrak™ SSG 08 | Memorial (Battle-Scarred)
M4A4 | Hellish (Field-Tested)
UMP-45 | K.O. Factory (Field-Tested)
Dual Berettas | BorDeux (Minimal Wear)
Tec-9 | Garter-9 (Minimal Wear)
Desert Eagle | Mint Fan (Field-Tested)
MAC-10 | Storm Camo (Well-Worn)
SCAR-20 | Short Ochre (Factory New)
AWP | Arsenic Spill (Minimal Wear)
CZ75-Auto | Pink Pearl (Field-Tested)
P90 | Desert Halftone (Minimal Wear)
M4A4 | Naval Shred Camo (Field-Tested)
Nova | Marsh Grass (Factory New)
MAC-10 | Acid Hex (Field-Tested)
UMP-45 | Green Swirl (Minimal Wear)
Zeus x27 | Swamp DDPAT (Field-Tested)
Five-SeveN | Autumn Thicket (Well-Worn)
StatTrak™ MAG-7 | Resupply (Well-Worn)
StatTrak™ P2000 | Sure Grip (Battle-Scarred)
Nova | Rising Sun (Factory New)
Negev | Raw Ceramic (Field-Tested)
StatTrak™ P90 | Wave Breaker (Battle-Scarred)
SSG 08 | Memorial (Factory New)
USP-S | Royal Guard (Factory New)
P250 | Red Tide (Field-Tested)
Zeus x27 | Charged Up (Factory New)
StatTrak™ SSG 08 | Memorial (Well-Worn)
P2000 | Sure Grip (Factory New)
G3SG1 | Green Cell (Field-Tested)
Negev | Raw Ceramic (Battle-Scarred)
M4A4 | Steel Work (Field-Tested)
Nova | Turquoise Pour (Battle-Scarred)
StatTrak™ AK-47 | Searing Rage (Well-Worn)
SCAR-20 | Short Ochre (Field-Tested)
P90 | Mustard Gas (Field-Tested)
Dual Berettas | BorDeux (Battle-Scarred)
Tec-9 | Whiteout (Well-Worn)
Zeus x27 | Tosai (Minimal Wear)
Desert Eagle | Serpent Strike (Battle-Scarred)
Tec-9 | Whiteout (Minimal Wear)
PP-Bizon | Wood Block Camo (Minimal Wear)
MP9 | Latte Rush (Battle-Scarred)
MP9 | Latte Rush (Minimal Wear)
AWP | LongDog (Minimal Wear)
Galil AR | Control (Factory New)
Nova | Marsh Grass (Minimal Wear)
MP9 | Nexus (Factory New)
FAMAS | Bad Trip (Minimal Wear)
G3SG1 | Red Jasper (Factory New)
Galil AR | Robin's Egg (Battle-Scarred)
FAMAS | Palm (Field-Tested)
AUG | Commando Company (Field-Tested)
★ Survival Knife | Marble Fade (Factory New)
R8 Revolver | Cobalt Grip (Minimal Wear)
P250 | Copper Oxide (Battle-Scarred)
Tec-9 | Raw Ceramic (Field-Tested)
AK-47 | Searing Rage (Battle-Scarred)
P250 | Plum Netting (Minimal Wear)
P250 | Sedimentary (Field-Tested)
XM1014 | Canvas Cloud (Factory New)
MP9 | Latte Rush (Well-Worn)
Galil AR | Grey Smoke (Minimal Wear)
XM1014 | Gum Wall Camo (Field-Tested)
FAMAS | Grey Ghost (Field-Tested)
P250 | Sedimentary (Factory New)
★ Skeleton Knife | Ultraviolet (Minimal Wear)
StatTrak™ FAMAS | Bad Trip (Field-Tested)
Zeus x27 | Tosai (Battle-Scarred)
Sawed-Off | Runoff (Battle-Scarred)
USP-S | Tropical Breeze (Factory New)
StatTrak™ MAG-7 | Resupply (Factory New)
AWP | Printstream (Battle-Scarred)
StatTrak™ AK-47 | Searing Rage (Field-Tested)
StatTrak™ Zeus x27 | Tosai (Field-Tested)
StatTrak™ Galil AR | Control (Minimal Wear)
USP-S | PC-GRN (Factory New)
P90 | Mustard Gas (Factory New)
StatTrak™ USP-S | PC-GRN (Well-Worn)
UMP-45 | Green Swirl (Factory New)
StatTrak™ P90 | Wave Breaker (Field-Tested)
P250 | Red Tide (Minimal Wear)
MP9 | Shredded (Field-Tested)
FAMAS | Palm (Minimal Wear)
Dual Berettas | Rose Nacre (Minimal Wear)
FAMAS | Grey Ghost (Battle-Scarred)
MP9 | Buff Blue (Factory New)
M249 | Sage Camo (Minimal Wear)
MAC-10 | Storm Camo (Factory New)
AUG | Commando Company (Minimal Wear)
MP9 | Cobalt Paisley (Battle-Scarred)
MAC-10 | Storm Camo (Battle-Scarred)
AK-47 | Midnight Laminate (Minimal Wear)
StatTrak™ P2000 | Sure Grip (Well-Worn)
StatTrak™ FAMAS | Bad Trip (Factory New)
StatTrak™ XM1014 | Mockingbird (Well-Worn)
StatTrak™ Desert Eagle | Serpent Strike (Minimal Wear)
StatTrak™ XM1014 | Mockingbird (Battle-Scarred)
Galil AR | Acid Dart (Battle-Scarred)
StatTrak™ Galil AR | Control (Factory New)
Tec-9 | Raw Ceramic (Minimal Wear)
MP7 | Short Ochre (Minimal Wear)
P90 | Blue Tac (Minimal Wear)
StatTrak™ Glock-18 | Shinobu (Field-Tested)
StatTrak™ AWP | Printstream (Minimal Wear)
Dual Berettas | Polished Malachite (Minimal Wear)
AWP | Printstream (Field-Tested)
P90 | Wave Breaker (Factory New)
M4A4 | Hellish (Well-Worn)
Galil AR | Robin's Egg (Factory New)
MP9 | Shredded (Minimal Wear)
SSG 08 | Green Ceramic (Well-Worn)
M4A4 | Hellish (Battle-Scarred)
SSG 08 | Grey Smoke (Field-Tested)
Desert Eagle | Mint Fan (Minimal Wear)
Negev | Sour Grapes (Field-Tested)
FAMAS | Grey Ghost (Factory New)
P90 | Blue Tac (Well-Worn)
MAG-7 | Resupply (Factory New)
Five-SeveN | Sky Blue (Factory New)
Five-SeveN | Autumn Thicket (Field-Tested)
StatTrak™ Desert Eagle | Serpent Strike (Battle-Scarred)
XM1014 | Mockingbird (Factory New)
Five-SeveN | Sky Blue (Minimal Wear)
Nova | Marsh Grass (Battle-Scarred)
P90 | Desert Halftone (Battle-Scarred)
Galil AR | Grey Smoke (Factory New)
Galil AR | Acid Dart (Field-Tested)
PP-Bizon | Wood Block Camo (Field-Tested)
Tec-9 | Citric Acid (Field-Tested)
G3SG1 | Green Cell (Minimal Wear)
Sawed-Off | Runoff (Minimal Wear)
P2000 | Marsh (Factory New)
StatTrak™ P90 | Wave Breaker (Minimal Wear)
M4A1-S | Rose Hex (Factory New)
StatTrak™ AK-47 | Searing Rage (Minimal Wear)
MAC-10 | Bronzer (Battle-Scarred)
SG 553 | Night Camo (Battle-Scarred)
AK-47 | VariCamo Grey (Minimal Wear)
Zeus x27 | Charged Up (Battle-Scarred)
MP5-SD | Lime Hex (Battle-Scarred)
Tec-9 | Blue Blast (Field-Tested)
MP9 | Cobalt Paisley (Field-Tested)
AK-47 | VariCamo Grey (Field-Tested)
R8 Revolver | Cobalt Grip (Battle-Scarred)
StatTrak™ Zeus x27 | Tosai (Factory New)
StatTrak™ M4A4 | Choppa (Battle-Scarred)
AWP | Printstream (Well-Worn)
AWP | Printstream (Factory New)
M4A4 | Naval Shred Camo (Factory New)
M4A4 | Steel Work (Battle-Scarred)
SCAR-20 | Short Ochre (Battle-Scarred)
MAG-7 | Copper Oxide (Factory New)
R8 Revolver | Leafhopper (Minimal Wear)
MAC-10 | Storm Camo (Field-Tested)
Glock-18 | Ocean Topo (Minimal Wear)
G3SG1 | Red Jasper (Battle-Scarred)
P2000 | Marsh (Field-Tested)
MAG-7 | Copper Oxide (Minimal Wear)
StatTrak™ Galil AR | Control (Battle-Scarred)
XM1014 | Canvas Cloud (Battle-Scarred)
FAMAS | Yeti Camo (Field-Tested)
Zeus x27 | Swamp DDPAT (Battle-Scarred)
Zeus x27 | Swamp DDPAT (Factory New)
MP9 | Multi-Terrain (Minimal Wear)
MP5-SD | Lime Hex (Minimal Wear)
P250 | Copper Oxide (Minimal Wear)
StatTrak™ Desert Eagle | Serpent Strike (Factory New)
FAMAS | Bad Trip (Well-Worn)
StatTrak™ P90 | Wave Breaker (Well-Worn)
SSG 08 | Tiger Tear (Minimal Wear)
Negev | Sour Grapes (Minimal Wear)
SSG 08 | Grey Smoke (Factory New)
SSG 08 | Green Ceramic (Battle-Scarred)
StatTrak™ M4A4 | Choppa (Factory New)
Five-SeveN | Autumn Thicket (Factory New)
M4A4 | Naval Shred Camo (Minimal Wear)
FAMAS | Palm (Factory New)
M4A4 | Steel Work (Minimal Wear)
Nova | Marsh Grass (Field-Tested)
SG 553 | Night Camo (Minimal Wear)
Tec-9 | Citric Acid (Minimal Wear)
CZ75-Auto | Pink Pearl (Minimal Wear)
MP5-SD | Gold Leaf (Factory New)
Glock-18 | Ocean Topo (Field-Tested)
